"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_name","go","ontology"
"ENSBTAG00000049591",20.8292889693017,-3.16969482973617,0.556095389352393,-3.90165944778451,9.55355004758521e-05,1,NA,NA,NA,NA
"ENSBTAG00000039499",7.24752553494753,5.42191403780227,1.45698265837925,3.03498055544548,0.00240551195025067,1,"BROX","BRO1 domain and CAAX motif containing",NA,NA
"ENSBTAG00000000749",2.3207713815323,-4.57088108000911,1.60553925457841,-2.22410076229919,0.0261416656281802,1,NA,NA,NA,NA
"ENSBTAG00000043562",7.01606374570074,-2.62965574044234,0.88891481559331,-1.83330923487265,0.0667565968180593,1,"POLE2","DNA polymerase epsilon 2, accessory subunit","GO:0003677","CC"
"ENSBTAG00000031933",1.71039393708087,-4.12919192594227,1.74000133071399,-1.79838478896923,0.0721160515598875,1,"MRRF","mitochondrial ribosome recycling factor",NA,NA
"ENSBTAG00000015395",2.698189493718,3.86982529644226,1.60619805315932,1.7867194464577,0.0739828444310443,1,"NEMF","nuclear export mediator factor",NA,NA
"ENSBTAG00000013429",1.43075922591583,4.07822002089959,1.87655721205814,1.64035500816067,0.100931374358892,1,"FGGY","FGGY carbohydrate kinase domain containing",NA,NA
"ENSBTAG00000005162",1.55276440885391,-3.98958040504385,1.83923836074476,-1.62544478673948,0.104067819457653,1,"HIPK4","homeodomain interacting protein kinase 4",NA,NA
"ENSBTAG00000020880",1.55196065231745,-3.96059843840923,1.87352017511645,-1.58023301682631,0.114053513207731,1,"NUPR2","nuclear protein 2, transcriptional regulator","GO:0000122","BP"
"ENSBTAG00000013090",1.46927154938514,-3.89565486388085,1.86250091814432,-1.5547132544589,0.120014376466653,1,"ODF2","outer dense fiber of sperm tails 2","GO:0000922","BP"
"ENSBTAG00000045496",2.32045313467868,-3.46582459910446,1.62057333285201,-1.52157545056287,0.128115492673571,1,"TUFT1","tuftelin 1","GO:0005576","BP"
"ENSBTAG00000010970",7.5452322540576,2.58183854064235,1.05635498702268,1.49744977784479,0.134276264218546,1,"MAN2A2","mannosidase alpha class 2A member 2",NA,NA
"ENSBTAG00000047968",3.16935534705195,-3.11905810776838,1.41571928677219,-1.4968066957679,0.134443563540131,1,"MSH5","mutS homolog 5",NA,NA
"ENSBTAG00000043579",63.0304248545009,-1.55482185125806,0.373653846175102,-1.48485518598961,0.137582189425789,1,"MIR450A-2","microRNA mir-450a-2",NA,NA
"ENSBTAG00000051029",1.98424594094191,3.43230666730299,1.67673184703212,1.45062352791131,0.146884720109895,1,NA,NA,NA,NA
"ENSBTAG00000048671",4.06619565814742,-2.71128474412303,1.18509149584653,-1.44401065244387,0.148735978908381,1,"EEF1E1","eukaryotic translation elongation factor 1 epsilon 1",NA,NA
"ENSBTAG00000052787",6.79232654251468,-2.18162891861637,0.826208932211337,-1.43018172831146,0.152664868171013,1,"TSPO","translocator protein","GO:0006869","BP"
"ENSBTAG00000054341",2.03314937266339,-3.30823296913448,1.6336233723163,-1.41295295369192,0.157669557553551,1,"PSD3","pleckstrin and Sec7 domain containing 3",NA,NA
"ENSBTAG00000054050",2.11173946093419,-3.35460232625509,1.68333837876396,-1.39876946664997,0.16188212524338,1,"TEX2","testis expressed 2",NA,NA
"ENSBTAG00000049888",1.18760836675972,-3.61742123376945,1.95346778538862,-1.33988451375907,0.180282893578646,1,"SS18L1","SS18L1 subunit of BAF chromatin remodeling complex","GO:0000777","BP"
"ENSBTAG00000053334",1.19580639608273,-3.62525129180434,1.96783840960329,-1.33407869212878,0.182178068220575,1,"DKK4","dickkopf WNT signaling pathway inhibitor 4",NA,NA
"ENSBTAG00000008274",1.09932025132748,3.70132063734691,2.04023004796073,1.32402747427769,0.185493920308708,1,"ABHD16A","abhydrolase domain containing 16A, phospholipase","GO:0004620","BP"
"ENSBTAG00000049817",1.9875813689077,3.38564787885765,1.81024362229569,1.31786012085613,0.187550477611637,1,"AKAP10","A-kinase anchoring protein 10",NA,NA
"ENSBTAG00000053330",1.21120959449575,3.7764171554631,2.13493150690407,1.30047130153101,0.193439486092348,1,"PPM1B","protein phosphatase, Mg2+/Mn2+ dependent 1B","GO:0000287","BP"
"ENSBTAG00000045206",1.13316301477259,-3.52221443493166,1.96969032135085,-1.28051318909963,0.200364709213966,1,"ENTPD6","ectonucleoside triphosphate diphosphohydrolase 6",NA,NA
"ENSBTAG00000046260",1.13316301477259,-3.52221443493166,1.96969032135085,-1.28051318909963,0.200364709213966,1,NA,NA,NA,NA
"ENSBTAG00000054066",1.87961885909793,-3.18554619395716,1.71762636966803,-1.27242235712739,0.20322309467542,1,"RMDN2","regulator of microtubule dynamics 2","GO:0000922","CC"
"ENSBTAG00000000261",1.02613704085412,3.57632283284812,2.05015960189828,1.25664500971664,0.208882208689107,1,"LOC112446898","U6 spliceosomal RNA",NA,NA
"ENSBTAG00000043826",1.08771944864493,-3.47609706995872,1.98494643316101,-1.24743772859178,0.212237039884744,1,NA,NA,NA,NA
"ENSBTAG00000040018",2.72176201011586,-2.76339160930503,1.4232599640024,-1.23898068793148,0.215352650054179,1,"ND5","NADH dehydrogenase subunit 5",NA,NA
"ENSBTAG00000051343",8.63614601436279,-1.93082404269319,0.764930041101668,-1.21687473713621,0.223651878829918,1,"S100A2","S100 calcium binding protein A2","GO:0005509","MF"
"ENSBTAG00000053863",2.55158362981397,-2.80433715999433,1.48995818517237,-1.21099852193879,0.225895971176083,1,NA,NA,NA,NA
"ENSBTAG00000014449",19.5138713291749,1.76631524534377,0.636709156515669,1.20355618809906,0.228761161804868,1,"FAM214A","family with sequence similarity 214 member A",NA,NA
"ENSBTAG00000049284",1.60507679071997,3.10328332409139,1.76236897282717,1.19344096299955,0.232696720349063,1,"STK16","serine/threonine kinase 16",NA,NA
"ENSBTAG00000043574",194.506313224416,-1.18583252044254,0.160867763085526,-1.15518806800179,0.248013419866071,1,"MACROH2A2","macroH2A.2 histone",NA,NA
"ENSBTAG00000043695",1.54425305115108,3.02306610922966,1.76620343301963,1.14543210108638,0.252030207041403,1,"BCL6","BCL6 transcription repressor",NA,NA
"ENSBTAG00000031654",1.56016310969561,3.03432603707689,1.78317605445244,1.14084418753681,0.253934768666947,1,"OTUD6B","OTU deubiquitinase 6B",NA,NA
"ENSBTAG00000051338",3.82950858346631,-2.27739364650289,1.12374594431137,-1.1367281483589,0.255651948348707,1,NA,NA,NA,NA
"ENSBTAG00000040392",0.991929545191644,-3.32424033985226,2.08036051924281,-1.11722959475227,0.263896169809364,1,"MDH2","malate dehydrogenase 2","GO:0005759","BP"
"ENSBTAG00000036257",1.65643409477658,-2.92707455416053,1.73737672318158,-1.10918635460453,0.26734979790441,1,"LOC112441484","interferon-induced transmembrane protein 3-like",NA,NA
"ENSBTAG00000051931",1.65079351538671,-2.96278935689701,1.77699315175412,-1.10455651163286,0.269351803780199,1,NA,NA,NA,NA
"ENSBTAG00000055156",0.885959626318706,3.35350919459828,2.14972549782592,1.09479521779802,0.27360636200298,1,"RIC8A","RIC8 guanine nucleotide exchange factor A","GO:0001701","BP"
"ENSBTAG00000050288",3.15164987505071,2.48252483050758,1.35823164528604,1.09151103617187,0.275048078408276,1,NA,NA,NA,NA
"ENSBTAG00000045852",1.52217252811339,3.03940206184943,1.90408162250747,1.07106861268046,0.284138579890764,1,NA,NA,NA,NA
